N,avg_mw,installed_mw,water_m3d,water_store_t,waste_m3d,food_t,fuel_t,people_t,personal_t,hospital_beds,hospital_m2,students,school_m2,refuge_m2,solid_waste_tpd,solid_waste_buffer_t,battery_mwh,battery_t
60000,300.0,675.0,13200.0,39600.0,10800.0,3960.0,20160.0,5400.0,60000.0,180.0,27000.0,10800.0,129600.0,120000.0,90.0,1260.0,600.0,4800.0
80000,400.0,900.0,17600.0,52800.0,14400.0,5280.0,26880.0,7200.0,80000.0,240.0,36000.0,14400.0,172800.0,160000.0,120.0,1680.0,800.0,6400.0
100000,500.0,1125.0,22000.0,66000.0,18000.0,6600.000000000001,33600.0,9000.0,100000.0,300.0,45000.0,18000.0,216000.0,200000.0,150.0,2100.0,1000.0,8000.0
